Item Purchased,Category,Color,Location,Size,Gender,Shipping Type,Payment Method,Discount Applied,Subscription Status,Season,Frequency of Purchases,Previous Purchases,Purchase Amount (USD),Age,Category_Item_Color,Category_Item_Size,Category_Item_Location,Prob Alta (%),Classe Prevista,Risco de Review
T-shirt,Clothing,Black,Florida,L,Male,Standard,Debit Card,1,0,Spring,Monthly,7,103.62,66,Clothing_T-shirt_Black,Clothing_T-shirt_L,Clothing_T-shirt_Florida,69.48,Alta,Moderada
Shoes,Outerwear,White,California,XL,Female,Express,Debit Card,0,0,Winter,Occasionally,3,225.97,37,Outerwear_Shoes_White,Outerwear_Shoes_XL,Outerwear_Shoes_California,74.34,Alta,Alta probabilidade
Jacket,Accessories,Yellow,Texas,M,Male,Express,Credit Card,0,0,Spring,Weekly,8,296.53,26,Accessories_Jacket_Yellow,Accessories_Jacket_M,Accessories_Jacket_Texas,89.9,Alta,Alta probabilidade
Jacket,Clothing,Red,Nevada,L,Female,Express,Credit Card,0,0,Fall,Monthly,0,409.95,22,Clothing_Jacket_Red,Clothing_Jacket_L,Clothing_Jacket_Nevada,78.59,Alta,Alta probabilidade
T-shirt,Accessories,White,New York,L,Female,Express,PayPal,0,0,Summer,Weekly,1,494.25,40,Accessories_T-shirt_White,Accessories_T-shirt_L,Accessories_T-shirt_New York,88.72,Alta,Alta probabilidade
Shoes,Outerwear,White,Florida,S,Male,Standard,PayPal,0,1,Fall,Occasionally,5,200.54,50,Outerwear_Shoes_White,Outerwear_Shoes_S,Outerwear_Shoes_Florida,68.06,Alta,Moderada
T-shirt,Outerwear,Yellow,California,XL,Female,Express,Debit Card,0,0,Spring,Occasionally,9,33.23,55,Outerwear_T-shirt_Yellow,Outerwear_T-shirt_XL,Outerwear_T-shirt_California,72.95,Alta,Alta probabilidade
Shoes,Footwear,Black,Texas,L,Female,Standard,PayPal,0,0,Summer,Monthly,0,402.57,31,Footwear_Shoes_Black,Footwear_Shoes_L,Footwear_Shoes_Texas,70.02,Alta,Alta probabilidade
Dress,Clothing,Black,New York,L,Male,Standard,Credit Card,0,0,Fall,Occasionally,3,306.15,34,Clothing_Dress_Black,Clothing_Dress_L,Clothing_Dress_New York,96.21,Alta,Alta probabilidade
Jeans,Accessories,Black,California,L,Male,Express,PayPal,1,1,Fall,Weekly,7,107.29,36,Accessories_Jeans_Black,Accessories_Jeans_L,Accessories_Jeans_California,55.78,Alta,Moderada
Jeans,Footwear,Black,California,L,Female,Express,Credit Card,0,1,Winter,Monthly,9,252.47,50,Footwear_Jeans_Black,Footwear_Jeans_L,Footwear_Jeans_California,76.64,Alta,Alta probabilidade
Jeans,Clothing,Green,New York,M,Male,Express,Debit Card,1,1,Summer,Monthly,4,373.73,18,Clothing_Jeans_Green,Clothing_Jeans_M,Clothing_Jeans_New York,46.66,Não-Alta,Baixa
T-shirt,Footwear,Black,Texas,XL,Female,Standard,Debit Card,0,1,Fall,Weekly,8,387.5,30,Footwear_T-shirt_Black,Footwear_T-shirt_XL,Footwear_T-shirt_Texas,95.74,Alta,Alta probabilidade
Dress,Outerwear,Green,Texas,S,Female,Express,Credit Card,1,1,Fall,Monthly,5,254.81,63,Outerwear_Dress_Green,Outerwear_Dress_S,Outerwear_Dress_Texas,73.9,Alta,Alta probabilidade
Shoes,Clothing,Green,Nevada,S,Male,Express,PayPal,0,1,Winter,Monthly,0,159.56,44,Clothing_Shoes_Green,Clothing_Shoes_S,Clothing_Shoes_Nevada,48.43,Não-Alta,Baixa
Jacket,Footwear,Black,Florida,M,Male,Express,Debit Card,0,1,Fall,Weekly,5,487.13,23,Footwear_Jacket_Black,Footwear_Jacket_M,Footwear_Jacket_Florida,90.94,Alta,Alta probabilidade
Shoes,Footwear,Blue,New York,XL,Male,Express,Debit Card,0,0,Fall,Monthly,5,335.05,23,Footwear_Shoes_Blue,Footwear_Shoes_XL,Footwear_Shoes_New York,69.47,Alta,Moderada
Jacket,Accessories,Red,New York,L,Male,Express,PayPal,1,0,Fall,Monthly,5,210.04,50,Accessories_Jacket_Red,Accessories_Jacket_L,Accessories_Jacket_New York,58.38,Alta,Moderada
Shoes,Footwear,White,New York,M,Female,Standard,PayPal,1,1,Winter,Weekly,7,147.43,47,Footwear_Shoes_White,Footwear_Shoes_M,Footwear_Shoes_New York,60.65,Alta,Moderada
Dress,Clothing,Green,Texas,XL,Female,Express,Credit Card,1,0,Fall,Occasionally,5,368.24,63,Clothing_Dress_Green,Clothing_Dress_XL,Clothing_Dress_Texas,70.46,Alta,Alta probabilidade
Jacket,Clothing,Yellow,Florida,L,Male,Express,PayPal,1,0,Fall,Weekly,4,128.67,52,Clothing_Jacket_Yellow,Clothing_Jacket_L,Clothing_Jacket_Florida,57.79,Alta,Moderada
T-shirt,Accessories,Yellow,Nevada,M,Male,Express,PayPal,0,1,Summer,Monthly,1,94.14,40,Accessories_T-shirt_Yellow,Accessories_T-shirt_M,Accessories_T-shirt_Nevada,64.52,Alta,Moderada
Shoes,Clothing,Red,California,XL,Female,Standard,PayPal,0,0,Summer,Weekly,3,269.62,27,Clothing_Shoes_Red,Clothing_Shoes_XL,Clothing_Shoes_California,74.74,Alta,Alta probabilidade
Shoes,Outerwear,Yellow,California,S,Female,Express,Credit Card,0,0,Winter,Monthly,9,152.09,68,Outerwear_Shoes_Yellow,Outerwear_Shoes_S,Outerwear_Shoes_California,70.28,Alta,Alta probabilidade
Jacket,Clothing,Blue,New York,S,Female,Standard,Credit Card,1,1,Spring,Monthly,4,318.16,36,Clothing_Jacket_Blue,Clothing_Jacket_S,Clothing_Jacket_New York,79.74,Alta,Alta probabilidade
T-shirt,Clothing,Yellow,Florida,XL,Female,Standard,Debit Card,0,0,Summer,Weekly,9,67.79,68,Clothing_T-shirt_Yellow,Clothing_T-shirt_XL,Clothing_T-shirt_Florida,79.33,Alta,Alta probabilidade
T-shirt,Footwear,White,Texas,S,Male,Express,Credit Card,1,1,Winter,Monthly,3,330.92,45,Footwear_T-shirt_White,Footwear_T-shirt_S,Footwear_T-shirt_Texas,90.04,Alta,Alta probabilidade
Dress,Footwear,White,Florida,XL,Female,Express,Debit Card,1,1,Fall,Occasionally,1,148.82,40,Footwear_Dress_White,Footwear_Dress_XL,Footwear_Dress_Florida,66.11,Alta,Moderada
T-shirt,Clothing,Green,Florida,L,Female,Express,PayPal,1,0,Fall,Monthly,6,10.12,21,Clothing_T-shirt_Green,Clothing_T-shirt_L,Clothing_T-shirt_Florida,44.5,Não-Alta,Baixa
T-shirt,Accessories,Black,Texas,XL,Male,Standard,Debit Card,1,0,Winter,Weekly,9,72.2,37,Accessories_T-shirt_Black,Accessories_T-shirt_XL,Accessories_T-shirt_Texas,81.28,Alta,Alta probabilidade
T-shirt,Footwear,Blue,New York,L,Female,Standard,Debit Card,1,0,Fall,Occasionally,9,467.47,36,Footwear_T-shirt_Blue,Footwear_T-shirt_L,Footwear_T-shirt_New York,86.75,Alta,Alta probabilidade
Jeans,Accessories,Green,Florida,M,Female,Standard,PayPal,0,1,Fall,Occasionally,1,435.0,59,Accessories_Jeans_Green,Accessories_Jeans_M,Accessories_Jeans_Florida,72.51,Alta,Alta probabilidade
Dress,Clothing,Blue,California,XL,Male,Standard,Debit Card,1,1,Spring,Monthly,0,124.47,44,Clothing_Dress_Blue,Clothing_Dress_XL,Clothing_Dress_California,73.91,Alta,Alta probabilidade
Shoes,Clothing,Black,Texas,M,Male,Standard,Credit Card,1,1,Fall,Weekly,4,391.4,51,Clothing_Shoes_Black,Clothing_Shoes_M,Clothing_Shoes_Texas,87.83,Alta,Alta probabilidade
Jacket,Outerwear,Yellow,Nevada,S,Male,Standard,Credit Card,0,0,Summer,Monthly,0,308.2,21,Outerwear_Jacket_Yellow,Outerwear_Jacket_S,Outerwear_Jacket_Nevada,85.53,Alta,Alta probabilidade
Shoes,Footwear,Yellow,New York,L,Female,Express,Credit Card,1,0,Fall,Monthly,0,485.74,55,Footwear_Shoes_Yellow,Footwear_Shoes_L,Footwear_Shoes_New York,93.45,Alta,Alta probabilidade
Dress,Clothing,Black,Texas,XL,Female,Express,Credit Card,1,1,Winter,Weekly,0,193.07,24,Clothing_Dress_Black,Clothing_Dress_XL,Clothing_Dress_Texas,88.46,Alta,Alta probabilidade
Jacket,Outerwear,Green,Nevada,M,Male,Standard,Debit Card,0,0,Spring,Weekly,5,343.92,65,Outerwear_Jacket_Green,Outerwear_Jacket_M,Outerwear_Jacket_Nevada,86.72,Alta,Alta probabilidade
Dress,Footwear,Black,Nevada,L,Male,Express,Debit Card,0,0,Fall,Monthly,8,41.13,24,Footwear_Dress_Black,Footwear_Dress_L,Footwear_Dress_Nevada,54.84,Alta,Moderada
T-shirt,Clothing,Red,Florida,L,Female,Express,PayPal,0,1,Winter,Occasionally,9,204.16,67,Clothing_T-shirt_Red,Clothing_T-shirt_L,Clothing_T-shirt_Florida,68.51,Alta,Moderada
Jacket,Clothing,White,Florida,S,Male,Standard,Debit Card,1,1,Summer,Monthly,0,482.27,69,Clothing_Jacket_White,Clothing_Jacket_S,Clothing_Jacket_Florida,86.69,Alta,Alta probabilidade
T-shirt,Footwear,Green,Florida,S,Male,Standard,Debit Card,0,0,Fall,Occasionally,4,274.1,43,Footwear_T-shirt_Green,Footwear_T-shirt_S,Footwear_T-shirt_Florida,75.82,Alta,Alta probabilidade
Shoes,Footwear,Blue,Texas,L,Male,Express,Debit Card,0,1,Spring,Monthly,8,151.06,43,Footwear_Shoes_Blue,Footwear_Shoes_L,Footwear_Shoes_Texas,28.51,Não-Alta,Baixa
Shoes,Footwear,Red,Texas,L,Female,Standard,PayPal,0,0,Fall,Weekly,8,68.93,36,Footwear_Shoes_Red,Footwear_Shoes_L,Footwear_Shoes_Texas,22.58,Não-Alta,Baixa
Jacket,Clothing,Green,New York,XL,Female,Standard,Credit Card,1,1,Winter,Occasionally,0,354.73,26,Clothing_Jacket_Green,Clothing_Jacket_XL,Clothing_Jacket_New York,82.7,Alta,Alta probabilidade
Jacket,Clothing,Black,Florida,L,Female,Express,Debit Card,0,1,Spring,Weekly,7,325.98,37,Clothing_Jacket_Black,Clothing_Jacket_L,Clothing_Jacket_Florida,82.33,Alta,Alta probabilidade
Dress,Outerwear,Black,Nevada,XL,Female,Standard,PayPal,1,1,Fall,Weekly,0,193.23,59,Outerwear_Dress_Black,Outerwear_Dress_XL,Outerwear_Dress_Nevada,74.36,Alta,Alta probabilidade
Dress,Accessories,Black,California,L,Female,Express,PayPal,1,0,Summer,Weekly,7,475.96,62,Accessories_Dress_Black,Accessories_Dress_L,Accessories_Dress_California,86.16,Alta,Alta probabilidade
T-shirt,Footwear,Black,New York,S,Female,Express,PayPal,0,0,Spring,Weekly,0,20.88,67,Footwear_T-shirt_Black,Footwear_T-shirt_S,Footwear_T-shirt_New York,60.44,Alta,Moderada
Jacket,Clothing,Blue,Texas,XL,Male,Express,Credit Card,1,1,Summer,Weekly,4,158.82,33,Clothing_Jacket_Blue,Clothing_Jacket_XL,Clothing_Jacket_Texas,74.9,Alta,Alta probabilidade
Shoes,Clothing,Red,New York,M,Female,Express,Debit Card,1,1,Winter,Monthly,7,461.32,34,Clothing_Shoes_Red,Clothing_Shoes_M,Clothing_Shoes_New York,76.65,Alta,Alta probabilidade
Dress,Footwear,Yellow,New York,S,Female,Express,PayPal,0,1,Fall,Occasionally,5,167.26,39,Footwear_Dress_Yellow,Footwear_Dress_S,Footwear_Dress_New York,73.19,Alta,Alta probabilidade
Dress,Accessories,White,New York,XL,Male,Standard,Credit Card,1,0,Summer,Monthly,8,133.6,30,Accessories_Dress_White,Accessories_Dress_XL,Accessories_Dress_New York,71.41,Alta,Alta probabilidade
Shoes,Footwear,Blue,New York,XL,Female,Standard,PayPal,0,1,Winter,Monthly,0,271.77,29,Footwear_Shoes_Blue,Footwear_Shoes_XL,Footwear_Shoes_New York,68.55,Alta,Moderada
Dress,Accessories,Blue,California,M,Female,Standard,PayPal,1,1,Fall,Monthly,8,413.66,27,Accessories_Dress_Blue,Accessories_Dress_M,Accessories_Dress_California,81.17,Alta,Alta probabilidade
T-shirt,Clothing,Yellow,Florida,XL,Male,Standard,PayPal,1,1,Winter,Weekly,0,60.54,18,Clothing_T-shirt_Yellow,Clothing_T-shirt_XL,Clothing_T-shirt_Florida,83.55,Alta,Alta probabilidade
Jacket,Accessories,Yellow,Nevada,L,Male,Express,PayPal,0,1,Summer,Monthly,9,472.08,49,Accessories_Jacket_Yellow,Accessories_Jacket_L,Accessories_Jacket_Nevada,89.96,Alta,Alta probabilidade
Shoes,Outerwear,White,New York,M,Male,Express,PayPal,0,0,Winter,Occasionally,9,399.59,47,Outerwear_Shoes_White,Outerwear_Shoes_M,Outerwear_Shoes_New York,77.01,Alta,Alta probabilidade
Jacket,Clothing,White,New York,S,Female,Standard,Credit Card,1,0,Spring,Monthly,2,98.81,25,Clothing_Jacket_White,Clothing_Jacket_S,Clothing_Jacket_New York,62.71,Alta,Moderada
Dress,Outerwear,Yellow,New York,S,Male,Express,Debit Card,1,1,Fall,Weekly,0,358.88,38,Outerwear_Dress_Yellow,Outerwear_Dress_S,Outerwear_Dress_New York,86.23,Alta,Alta probabilidade
Dress,Footwear,Black,Florida,L,Female,Standard,Debit Card,0,0,Winter,Occasionally,2,198.63,39,Footwear_Dress_Black,Footwear_Dress_L,Footwear_Dress_Florida,74.13,Alta,Alta probabilidade
Shoes,Footwear,Blue,Texas,S,Female,Standard,Debit Card,1,0,Summer,Occasionally,1,207.12,35,Footwear_Shoes_Blue,Footwear_Shoes_S,Footwear_Shoes_Texas,22.11,Não-Alta,Baixa
T-shirt,Footwear,Green,Texas,XL,Female,Standard,Debit Card,1,0,Fall,Occasionally,1,393.81,19,Footwear_T-shirt_Green,Footwear_T-shirt_XL,Footwear_T-shirt_Texas,91.12,Alta,Alta probabilidade
Jeans,Accessories,White,California,XL,Female,Express,Credit Card,1,1,Spring,Occasionally,8,481.76,65,Accessories_Jeans_White,Accessories_Jeans_XL,Accessories_Jeans_California,89.16,Alta,Alta probabilidade
Shoes,Clothing,White,Texas,L,Male,Express,Credit Card,1,0,Fall,Monthly,7,72.06,61,Clothing_Shoes_White,Clothing_Shoes_L,Clothing_Shoes_Texas,52.49,Alta,Moderada
Jeans,Footwear,Yellow,New York,S,Male,Express,Credit Card,0,0,Spring,Weekly,0,216.11,26,Footwear_Jeans_Yellow,Footwear_Jeans_S,Footwear_Jeans_New York,79.54,Alta,Alta probabilidade
Jeans,Footwear,Red,New York,S,Female,Express,PayPal,0,0,Fall,Occasionally,3,245.66,20,Footwear_Jeans_Red,Footwear_Jeans_S,Footwear_Jeans_New York,61.83,Alta,Moderada
T-shirt,Clothing,Green,New York,L,Male,Standard,PayPal,0,1,Winter,Occasionally,0,194.39,43,Clothing_T-shirt_Green,Clothing_T-shirt_L,Clothing_T-shirt_New York,76.51,Alta,Alta probabilidade
Jeans,Footwear,Green,California,M,Female,Express,PayPal,0,1,Winter,Weekly,0,187.96,38,Footwear_Jeans_Green,Footwear_Jeans_M,Footwear_Jeans_California,52.82,Alta,Moderada
Jeans,Outerwear,White,New York,S,Female,Express,Debit Card,0,0,Summer,Monthly,3,35.61,47,Outerwear_Jeans_White,Outerwear_Jeans_S,Outerwear_Jeans_New York,40.95,Não-Alta,Baixa
T-shirt,Clothing,Black,Texas,M,Female,Express,PayPal,0,0,Spring,Occasionally,1,345.91,45,Clothing_T-shirt_Black,Clothing_T-shirt_M,Clothing_T-shirt_Texas,86.27,Alta,Alta probabilidade
Jeans,Clothing,Red,Florida,S,Male,Standard,Debit Card,1,1,Summer,Monthly,2,223.75,53,Clothing_Jeans_Red,Clothing_Jeans_S,Clothing_Jeans_Florida,30.33,Não-Alta,Baixa
Jeans,Clothing,Green,Florida,S,Female,Standard,PayPal,0,1,Winter,Monthly,8,105.45,43,Clothing_Jeans_Green,Clothing_Jeans_S,Clothing_Jeans_Florida,12.43,Não-Alta,Baixa
Jeans,Outerwear,White,Nevada,S,Female,Express,Debit Card,1,0,Spring,Monthly,1,409.86,51,Outerwear_Jeans_White,Outerwear_Jeans_S,Outerwear_Jeans_Nevada,76.57,Alta,Alta probabilidade
Shoes,Clothing,Green,Texas,S,Male,Express,PayPal,1,0,Summer,Monthly,3,403.25,25,Clothing_Shoes_Green,Clothing_Shoes_S,Clothing_Shoes_Texas,79.33,Alta,Alta probabilidade
Shoes,Outerwear,Red,New York,XL,Male,Express,PayPal,1,1,Summer,Occasionally,0,248.33,27,Outerwear_Shoes_Red,Outerwear_Shoes_XL,Outerwear_Shoes_New York,70.85,Alta,Alta probabilidade
Shoes,Clothing,Red,Florida,M,Male,Express,Credit Card,0,1,Summer,Occasionally,1,156.24,65,Clothing_Shoes_Red,Clothing_Shoes_M,Clothing_Shoes_Florida,47.14,Não-Alta,Baixa
T-shirt,Accessories,Blue,Texas,M,Male,Standard,PayPal,1,0,Summer,Monthly,4,322.67,60,Accessories_T-shirt_Blue,Accessories_T-shirt_M,Accessories_T-shirt_Texas,80.82,Alta,Alta probabilidade
Dress,Footwear,Yellow,Florida,S,Female,Express,PayPal,0,1,Summer,Monthly,9,151.19,67,Footwear_Dress_Yellow,Footwear_Dress_S,Footwear_Dress_Florida,69.12,Alta,Moderada
Jeans,Accessories,Yellow,New York,S,Male,Express,Credit Card,1,0,Spring,Weekly,0,125.64,31,Accessories_Jeans_Yellow,Accessories_Jeans_S,Accessories_Jeans_New York,66.92,Alta,Moderada
Jeans,Footwear,White,Florida,M,Female,Express,Debit Card,1,0,Summer,Weekly,6,367.95,57,Footwear_Jeans_White,Footwear_Jeans_M,Footwear_Jeans_Florida,66.69,Alta,Moderada
T-shirt,Outerwear,Red,Nevada,XL,Male,Standard,Credit Card,0,0,Spring,Weekly,3,29.76,32,Outerwear_T-shirt_Red,Outerwear_T-shirt_XL,Outerwear_T-shirt_Nevada,67.79,Alta,Moderada
Jeans,Accessories,Blue,Nevada,L,Male,Standard,Credit Card,1,1,Summer,Occasionally,5,56.44,34,Accessories_Jeans_Blue,Accessories_Jeans_L,Accessories_Jeans_Nevada,41.66,Não-Alta,Baixa
Shoes,Clothing,Blue,Florida,L,Male,Express,Debit Card,1,0,Winter,Weekly,7,13.33,35,Clothing_Shoes_Blue,Clothing_Shoes_L,Clothing_Shoes_Florida,31.44,Não-Alta,Baixa
Dress,Footwear,Green,Texas,M,Male,Express,PayPal,1,0,Winter,Occasionally,5,84.94,49,Footwear_Dress_Green,Footwear_Dress_M,Footwear_Dress_Texas,49.59,Não-Alta,Baixa
Jacket,Footwear,Green,Texas,S,Male,Express,Debit Card,1,1,Summer,Occasionally,1,43.81,55,Footwear_Jacket_Green,Footwear_Jacket_S,Footwear_Jacket_Texas,54.15,Alta,Moderada
Jeans,Accessories,Blue,Texas,S,Male,Express,PayPal,0,1,Fall,Occasionally,0,497.94,40,Accessories_Jeans_Blue,Accessories_Jeans_S,Accessories_Jeans_Texas,88.65,Alta,Alta probabilidade
Shoes,Outerwear,Green,Florida,XL,Female,Express,PayPal,1,0,Winter,Occasionally,7,151.52,63,Outerwear_Shoes_Green,Outerwear_Shoes_XL,Outerwear_Shoes_Florida,48.87,Não-Alta,Baixa
Jacket,Accessories,Red,Texas,L,Male,Standard,Debit Card,1,0,Spring,Weekly,7,83.14,40,Accessories_Jacket_Red,Accessories_Jacket_L,Accessories_Jacket_Texas,66.8,Alta,Moderada
Dress,Outerwear,Black,New York,XL,Male,Standard,Credit Card,0,1,Summer,Monthly,8,128.09,52,Outerwear_Dress_Black,Outerwear_Dress_XL,Outerwear_Dress_New York,78.96,Alta,Alta probabilidade
Jacket,Outerwear,Red,Nevada,L,Male,Standard,Debit Card,1,1,Spring,Monthly,5,468.7,56,Outerwear_Jacket_Red,Outerwear_Jacket_L,Outerwear_Jacket_Nevada,86.58,Alta,Alta probabilidade
Shoes,Footwear,Blue,New York,M,Male,Express,PayPal,1,1,Fall,Monthly,0,264.88,32,Footwear_Shoes_Blue,Footwear_Shoes_M,Footwear_Shoes_New York,35.28,Não-Alta,Baixa
Jacket,Accessories,Blue,Texas,L,Female,Standard,Debit Card,1,0,Summer,Weekly,8,188.76,41,Accessories_Jacket_Blue,Accessories_Jacket_L,Accessories_Jacket_Texas,70.37,Alta,Alta probabilidade
T-shirt,Accessories,Red,New York,XL,Male,Standard,Debit Card,1,0,Winter,Monthly,2,437.96,45,Accessories_T-shirt_Red,Accessories_T-shirt_XL,Accessories_T-shirt_New York,90.15,Alta,Alta probabilidade
Jacket,Outerwear,Green,Texas,XL,Male,Standard,PayPal,0,0,Spring,Weekly,5,203.55,33,Outerwear_Jacket_Green,Outerwear_Jacket_XL,Outerwear_Jacket_Texas,92.54,Alta,Alta probabilidade
Jeans,Accessories,Green,Florida,XL,Male,Express,Credit Card,1,1,Winter,Weekly,9,174.15,33,Accessories_Jeans_Green,Accessories_Jeans_XL,Accessories_Jeans_Florida,60.68,Alta,Moderada
Jeans,Clothing,Yellow,New York,M,Male,Express,Debit Card,0,0,Winter,Weekly,9,111.57,57,Clothing_Jeans_Yellow,Clothing_Jeans_M,Clothing_Jeans_New York,28.42,Não-Alta,Baixa
T-shirt,Clothing,Blue,Florida,L,Female,Standard,PayPal,1,1,Summer,Monthly,8,195.12,56,Clothing_T-shirt_Blue,Clothing_T-shirt_L,Clothing_T-shirt_Florida,69.33,Alta,Moderada
Shoes,Accessories,White,Florida,L,Male,Express,PayPal,1,0,Spring,Monthly,2,165.18,23,Accessories_Shoes_White,Accessories_Shoes_L,Accessories_Shoes_Florida,59.67,Alta,Moderada
Jeans,Accessories,Yellow,California,XL,Female,Standard,Debit Card,1,1,Fall,Monthly,4,341.88,19,Accessories_Jeans_Yellow,Accessories_Jeans_XL,Accessories_Jeans_California,88.37,Alta,Alta probabilidade
Dress,Outerwear,Green,Texas,L,Male,Standard,Credit Card,0,0,Winter,Occasionally,4,151.9,30,Outerwear_Dress_Green,Outerwear_Dress_L,Outerwear_Dress_Texas,72.44,Alta,Alta probabilidade
Jeans,Clothing,Red,Nevada,S,Female,Standard,Debit Card,1,0,Summer,Weekly,9,292.83,61,Clothing_Jeans_Red,Clothing_Jeans_S,Clothing_Jeans_Nevada,48.15,Não-Alta,Baixa
Jeans,Clothing,Green,Texas,S,Female,Standard,Credit Card,1,1,Summer,Occasionally,6,42.29,64,Clothing_Jeans_Green,Clothing_Jeans_S,Clothing_Jeans_Texas,32.46,Não-Alta,Baixa
Shoes,Footwear,Red,Nevada,S,Male,Express,Credit Card,0,1,Fall,Weekly,3,103.73,26,Footwear_Shoes_Red,Footwear_Shoes_S,Footwear_Shoes_Nevada,50.79,Alta,Moderada
Jacket,Outerwear,Yellow,Texas,L,Male,Express,Credit Card,0,0,Summer,Monthly,3,209.63,51,Outerwear_Jacket_Yellow,Outerwear_Jacket_L,Outerwear_Jacket_Texas,84.14,Alta,Alta probabilidade
Jeans,Footwear,Blue,Florida,M,Female,Express,Credit Card,0,1,Winter,Weekly,6,469.11,34,Footwear_Jeans_Blue,Footwear_Jeans_M,Footwear_Jeans_Florida,81.9,Alta,Alta probabilidade
T-shirt,Clothing,Green,New York,M,Female,Express,Debit Card,0,1,Summer,Weekly,8,194.85,44,Clothing_T-shirt_Green,Clothing_T-shirt_M,Clothing_T-shirt_New York,59.01,Alta,Moderada
Jacket,Outerwear,Red,New York,M,Male,Standard,PayPal,1,0,Spring,Occasionally,3,335.4,46,Outerwear_Jacket_Red,Outerwear_Jacket_M,Outerwear_Jacket_New York,74.35,Alta,Alta probabilidade
Dress,Accessories,Blue,California,M,Female,Express,PayPal,1,1,Spring,Weekly,3,134.99,54,Accessories_Dress_Blue,Accessories_Dress_M,Accessories_Dress_California,52.49,Alta,Moderada
Shoes,Outerwear,White,Nevada,S,Female,Standard,PayPal,1,0,Winter,Monthly,5,72.25,60,Outerwear_Shoes_White,Outerwear_Shoes_S,Outerwear_Shoes_Nevada,45.31,Não-Alta,Baixa
Dress,Accessories,Red,Nevada,S,Female,Express,PayPal,1,0,Spring,Weekly,5,38.68,39,Accessories_Dress_Red,Accessories_Dress_S,Accessories_Dress_Nevada,40.97,Não-Alta,Baixa
Jacket,Accessories,Yellow,Nevada,XL,Male,Express,PayPal,0,1,Fall,Weekly,6,159.65,68,Accessories_Jacket_Yellow,Accessories_Jacket_XL,Accessories_Jacket_Nevada,74.64,Alta,Alta probabilidade
Jacket,Outerwear,White,Florida,L,Female,Express,PayPal,1,1,Summer,Weekly,0,87.25,41,Outerwear_Jacket_White,Outerwear_Jacket_L,Outerwear_Jacket_Florida,64.25,Alta,Moderada
Jacket,Accessories,White,Nevada,L,Female,Standard,Debit Card,1,0,Winter,Occasionally,2,95.27,24,Accessories_Jacket_White,Accessories_Jacket_L,Accessories_Jacket_Nevada,54.08,Alta,Moderada
Dress,Footwear,Black,New York,M,Female,Standard,Credit Card,1,0,Fall,Weekly,8,382.77,51,Footwear_Dress_Black,Footwear_Dress_M,Footwear_Dress_New York,83.99,Alta,Alta probabilidade
Jacket,Clothing,Green,Florida,S,Male,Standard,PayPal,1,0,Summer,Weekly,5,17.76,65,Clothing_Jacket_Green,Clothing_Jacket_S,Clothing_Jacket_Florida,34.06,Não-Alta,Baixa
Dress,Accessories,Red,Texas,M,Male,Standard,Debit Card,0,0,Fall,Occasionally,5,283.33,29,Accessories_Dress_Red,Accessories_Dress_M,Accessories_Dress_Texas,79.46,Alta,Alta probabilidade
Jacket,Footwear,White,Nevada,XL,Female,Express,PayPal,1,0,Winter,Occasionally,4,195.94,40,Footwear_Jacket_White,Footwear_Jacket_XL,Footwear_Jacket_Nevada,67.43,Alta,Moderada
T-shirt,Accessories,Black,Nevada,L,Male,Standard,PayPal,1,0,Winter,Occasionally,2,258.21,32,Accessories_T-shirt_Black,Accessories_T-shirt_L,Accessories_T-shirt_Nevada,78.39,Alta,Alta probabilidade
Jacket,Clothing,Yellow,Texas,L,Female,Standard,Credit Card,1,1,Fall,Occasionally,4,285.79,50,Clothing_Jacket_Yellow,Clothing_Jacket_L,Clothing_Jacket_Texas,86.62,Alta,Alta probabilidade
Dress,Footwear,Blue,Nevada,M,Male,Express,Credit Card,0,1,Summer,Monthly,0,163.55,30,Footwear_Dress_Blue,Footwear_Dress_M,Footwear_Dress_Nevada,59.57,Alta,Moderada
Jeans,Clothing,Red,Texas,XL,Male,Express,Credit Card,0,1,Spring,Monthly,2,154.6,40,Clothing_Jeans_Red,Clothing_Jeans_XL,Clothing_Jeans_Texas,89.77,Alta,Alta probabilidade
Jacket,Clothing,White,Florida,L,Female,Standard,PayPal,1,0,Spring,Weekly,3,369.37,55,Clothing_Jacket_White,Clothing_Jacket_L,Clothing_Jacket_Florida,78.44,Alta,Alta probabilidade
Jeans,Footwear,Green,New York,XL,Male,Express,PayPal,1,1,Fall,Monthly,4,436.93,49,Footwear_Jeans_Green,Footwear_Jeans_XL,Footwear_Jeans_New York,80.65,Alta,Alta probabilidade
T-shirt,Footwear,Black,Texas,XL,Male,Standard,PayPal,1,0,Winter,Weekly,9,104.36,62,Footwear_T-shirt_Black,Footwear_T-shirt_XL,Footwear_T-shirt_Texas,82.16,Alta,Alta probabilidade
Shoes,Footwear,White,California,M,Male,Express,Credit Card,0,0,Summer,Monthly,8,57.83,67,Footwear_Shoes_White,Footwear_Shoes_M,Footwear_Shoes_California,48.49,Não-Alta,Baixa
T-shirt,Outerwear,Green,Texas,S,Female,Standard,Debit Card,1,1,Summer,Occasionally,3,449.92,52,Outerwear_T-shirt_Green,Outerwear_T-shirt_S,Outerwear_T-shirt_Texas,90.17,Alta,Alta probabilidade
